symbol,country,market_cap
NVDA,USA,5109.59B
GOOGL,USA,4586.91B
GOOG,USA,4586.90B
AAPL,USA,4583.34B
MSFT,USA,3344.58B
AMZN,USA,2911.30B
TSM,Taiwan,2170.28B
AVGO,USA,2115.31B
TSLA,USA,1636.71B
META,USA,1605.58B
MU,USA,1095.03B
LLY,USA,1040.62B
BRK-B,USA,1023.15B
BRK-A,USA,1022.64B
WMT,USA,922.64B
AMD,USA,841.55B
JPM,USA,802.00B
ORCL,USA,649.35B
ASML,Netherlands,621.59B
V,USA,614.90B
XOM,USA,602.10B
INTC,USA,576.38B
JNJ,USA,542.42B
CSCO,USA,474.63B
MA,USA,436.47B
COST,USA,424.27B
CAT,USA,403.46B
LRCX,USA,397.91B
ABBV,USA,384.67B
ARM,United Kingdom,375.90B
PLTR,USA,375.28B
BAC,USA,366.18B
CVX,USA,363.39B
NFLX,USA,362.21B
AMAT,USA,357.33B
UNH,USA,345.38B
KO,USA,339.94B
GE,USA,337.79B
PG,USA,334.29B
MS,USA,328.08B
HSBC,United Kingdom,322.16B
HD,USA,316.23B
GS,USA,302.55B
BABA,China,298.02B
MRK,USA,293.22B
AZN,United Kingdom,287.95B
IBM,USA,279.90B
TXN,USA,278.20B
PM,USA,276.46B
NVS,Switzerland,274.89B
DELL,USA,274.61B
RY,Canada,264.70B
QCOM,USA,264.58B
GEV,USA,260.21B
KLAC,USA,251.03B
SNDK,USA,251.01B
TM,Japan,247.57B
RTX,USA,241.95B
WFC,USA,237.29B
SHEL,United Kingdom,234.53B
LIN,United Kingdom,230.23B
PANW,USA,229.86B
BHP,Australia,225.86B
AXP,USA,215.94B
C,USA,215.91B
SAP,Germany,212.25B
MUFG,Japan,211.19B
APP,USA,205.96B
TMUS,USA,202.95B
ADI,USA,201.58B
ANET,USA,200.81B
VZ,USA,199.63B
MCD,USA,198.37B
STX,USA,197.28B
PEP,USA,197.07B
TTE,France,193.96B
TD,Canada,191.89B
CRWD,USA,186.07B
SAN,Spain,183.18B
WDC,USA,183.10B
TMO,USA,183.03B
APH,USA,183.01B
BA,USA,182.22B
AMGN,USA,181.77B
NEE,USA,181.45B
MRVL,USA,179.49B
DIS,USA,176.83B
T,USA,172.32B
TJX,USA,171.28B
BLK,USA,170.47B
GILD,USA,166.90B
SCCO,USA,159.61B
CRM,USA,156.33B
UNP,USA,155.93B
GLW,USA,155.91B
ETN,Ireland,155.55B
SHOP,Canada,154.04B
NVO,Denmark,153.56B
SCHW,USA,151.91B
HON,USA,150.72B
ISRG,USA,150.39B
PFE,USA,149.21B
ABT,USA,149.10B
DE,USA,146.45B
WELL,USA,144.95B
UBER,USA,143.31B
UBS,Switzerland,143.11B
BX,USA,142.88B
SMFG,Japan,139.76B
COP,USA,138.86B
BUD,Belgium,138.28B
BTI,United Kingdom,133.97B
PLD,USA,133.76B
RIO,United Kingdom,133.47B
BBVA,Spain,130.33B
BKNG,USA,129.74B
DHR,USA,129.29B
NOW,USA,128.26B
SONY,Japan,127.43B
SPGI,USA,125.50B
UL,United Kingdom,122.70B
LMT,USA,122.30B
HDB,India,122.04B
VRT,USA,121.27B
CB,Switzerland,120.91B
PDD,China,120.19B
LOW,USA,120.06B
ENB,Canada,119.54B
NEM,USA,117.23B
SYK,USA,116.96B
COF,USA,116.95B
BMY,USA,116.77B
MO,USA,116.19B
CVS,USA,116.08B
ACN,Ireland,114.85B
BMO,Canada,114.41B
VRTX,USA,113.59B
SBUX,USA,113.01B
PGR,USA,111.26B
BP,United Kingdom,107.81B
MFG,Japan,107.26B
PWR,USA,106.80B
PH,USA,106.50B
EQIX,USA,105.33B
SNY,France,104.99B
ADBE,USA,104.77B
CEG,USA,103.93B
SO,USA,103.77B
CDNS,USA,103.41B
